OrganizationName,Industries,HeadquartersLocation,Description,CBRank,PostalCode,EstimatedRevenueRange,OperatingStatus,FoundedDate,ExitDate,ClosedDate,Company Type,Website,NumberOfFounders,NumberOfEmployees,NumberOfFundingRounds,TotalEquityFundingAmount,TotalFundingAmount,Top5Investors,FullDescription,LastFundingAmount,LastFundingDate,NumberOfInvestors,FundingStatus,LastFundingType,
7Fields Logo 7Fields,"Artificial Intelligence (AI) , E-Learning , EdTech , Human Resources , Information Technology , Machine Learning , SaaS","Berlin , Berlin , Germany","Integrated AI-enabled Development & Coaching Platform , SaaS, Mobile App","510,346",13507,—,Active,"Apr 1, 2018",—,—,For Profit,www.7fields.io,1,1-10,1,—,—,Push! Founders,"7Fields is a digital AI-enabled B2B-platform for Coaching & Development We provide high quality personal development for companies at a much lower price point, via a subscription model.",—,"Apr 1, 2018",1,Seed,Pre-Seed,
A-va Logo A-va,"Artificial Intelligence (AI) , InsurTech , Machine Learning","Düsseldorf , Nordrhein-Westfalen , Germany",A-va is an insurtech startup that specializes in building AI systems in the insurance industry.,"2,141,056",—,Less than $1M,Active,—,—,—,For Profit,a-va.ai,—,1-10,—,—,—,—,—,—,—,—,—,—,
A.I. Whoo Logo A.I. Whoo,"Artificial Intelligence (AI) , Computer , Software","Deuselbach , Rheinland-Pfalz , Germany","A.I. Whoo has provided Artificial Intelligence, Data, Behavior Assessments, ethically capture data, and insights.","1,078,987",19711,$1M to $10M,Active,2019,—,—,For Profit,aiwhoo.com,—,11-50,—,—,—,—,—,—,—,—,—,—,
a9t9 software GmbH Logo a9t9 software GmbH,"Computer Vision , Robotic Process Automation (RPA) , Software","Walldorf , Baden-Wurttemberg , Germany",A9T9 creates computer-vision driven solutions for Robotic Process Automation (RPA).,"683,189",69190,—,Active,"Oct 10, 2016",—,—,For Profit,a9t9.com,2,1-10,—,—,—,—,"A9T9 creates computer vision driven automation for Robotic Process Automation (RPA). Our solution, Kantu, allows companies to automate repetitive tasks on the web and desktop.What is the problem we are solving?Robotic process automation takes the robot out of the human. The average knowledge worker employed on a back office process has a lot of repetitive, routine tasks that are dreary and uninteresting. RPA is a type of software that mimics the activity of a human being in carrying out a task within a process. It can do repetitive stuff more quickly, accurately, and tirelessly than humans, freeing them to do other tasks requiring human strengths such as emotional intelligence, reasoning, judgment, and interaction with the customer.Kantu is not only one tool but a growing family of image-driven web, desktop and mobile automation tools. We already released Kantu for Web Automation. The launch of Kantu for Desktop Automation is scheduled for December 2017, and Kantu for Mobile Automation in 2018.What is unique about our solution?Most “other” automation tools work on some very technically level and require the user to fiddle with so-called class names, process IDs, document-object model (DOM) and other obscure parameters to create a successful automation script. But even if you have these skills, wouldn’t you rather use them and your time to be creative and work with customers, and not debugging and testing the automation scripts themselves?Kantu’s image-driven automation works on the visual website and desktop, just like a human does. This makes Kantu high-level and simple.",—,—,—,—,—,
Aaron.ai Logo Aaron.ai,"Artificial Intelligence (AI) , Health Care , Internet , Machine Learning , SaaS","Berlin , Berlin , Germany",Aaron.ai is the Doctor Assistant powered by conversational AI,"23,474",—,—,Active,"Jun 1, 2015",—,—,For Profit,aaron.ai/,3,11-50,3,"3,500,000.00 €","3,500,000.00 €","Plug and Play , IBB Ventures , BonVenture , Futury Capital , Mücke Roth & Company","Aaron.ai is the Doctor Assistant powered by conversational AI. The software-as-a-service product bridges the widening gap between a shortage of health care staff and an increasingly demanding, ageing population. Thousands of doctors already use our conversational phone assistant, which also supports the German Federal Ministry of Health and the National Medical Association in fighting the pandemic.","3,500,000.00 €","May 18, 2022",6,Seed,Seed,
abaut Logo abaut,"Analytics , Artificial Intelligence (AI) , Construction , Data Mining , Infrastructure , Internet of Things , Mining , SaaS , Software","Munich , Bayern , Germany",abaut builds a SaaS that enables businesses along the construction value chain to make better decisions and maximize their efficiency.,"286,258",80992,—,Active,"Jul 21, 2017",—,—,For Profit,abaut.de,4,11-50,1,—,—,—,"abaut is a SaaS provider for the construction and mining industry. The company’s goal is the digital replication of construction and mining progress and processes by combining a multitude of data sources, which are processed with the help of AI. Their software enables site managers to make better decisions, by providing site managers a holistic view over his site. Therefore, the risk of inefficiencies, process bottlenecks and cost & schedule overruns is reduced. The company was founded in 2017 and is headquartered in Munich, Germany.",—,"Mar 20, 2020",—,Seed,Seed,
ACCELERAID Logo ACCELERAID,"Analytics , Customer Service , E-Commerce , Machine Learning , Personalization , Software","Mannheim , Baden-Wurttemberg , Germany",ACCELERAID offers a data intelligence and AI-powered personalization solution that automates sales and marketing procedures.,"282,340",68165,$1M to $10M,Active,2009,—,—,For Profit,acceleraid.ai,1,51-100,3,—,—,—,"ACCELERAID offers a data intelligence and AI-powered personalization solution that automates sales and marketing procedures. The company was founded in 2009 and is based in Mannheim, Baden-Württemberg.",—,"Jan 1, 2013",—,Early Stage Venture,Series A,
Accent Hero,Machine Learning,"Berlin , Berlin , Germany",An online service helping to improve foreign-language pronunciation through ML-driven speech analysis and data visualization.,"2,048,497",—,—,Active,2015,—,—,For Profit,accenthero.com/,—,1-10,—,—,—,—,—,—,—,—,—,—,
Accentize Logo Accentize,"Audio , Content Creators , Machine Learning , Software","Darmstadt , Hessen , Germany",Accentize uses machine learning approaches to create cutting-edge audio processing software.,"578,562",—,—,Active,2019,—,—,For Profit,www.accentize.com,—,1-10,—,—,—,—,"Accentize is a German company that creates cutting-edge audio processing software utilizing machine learning algorithms. After several years of academic research, we discovered that there is a significant gap between cutting-edge theoretical discoveries and available productive implementations. By applying sophisticated algorithms to typical audio processing difficulties, our products strive to close this gap. The majority of our current offerings are speech-enhancing and restoration solutions for post-production and multimedia development.",—,—,—,—,—,
Access Logo Access,"Analytics , Artificial Intelligence (AI) , Non Profit","Aachen , Nordrhein-Westfalen , Germany","Access is a nonprofit organization that offers analytics, artificial intelligence, research, prototyping, and process development services.","1,768,790",52072,—,Active,1985,—,—,Non-profit,access-technology.de,—,101-250,—,—,—,—,—,—,—,—,—,—,
Accost Technologies Logo Accost Technologies,"CRM , Machine Learning , Software Engineering","England , Nordrhein-Westfalen , Germany",Accost Technologies is a software development company that offers machine learning and salesforce consulting services.,"2,573,781",RG6 7ED,$1M to $10M,Active,2009,—,—,For Profit,www.accosttechnologies.com/,—,11-50,—,—,—,—,—,—,—,—,—,—,
ACCURE Battery Intelligence Logo ACCURE Battery Intelligence,"Analytics , Artificial Intelligence (AI) , Battery , Energy , Energy Storage , Machine Learning , Predictive Analytics , Renewable Energy , Software","Aachen , Nordrhein-Westfalen , Germany",ACCURE is an AI-powered battery analytics company.,"71,620",52070,$500M to $1B,Active,"Jul 1, 2020",—,—,For Profit,accure.net,3,51-100,3,"$18,494,830","$18,494,830","Blue Bear Capital , 42CAP , Capnamic Ventures , HSBC Asset Management , Riverstone Holdings",Accure is a battery analytics company. The software and AI-driven solution assist manufacturers and operators in monitoring the overall health and safety conditions of a battery system throughout its lifecycle.,"7,200,000.00 €","Aug 22, 2023",5,Early Stage Venture,Series A,
Acrai Logo Acrai,"Agriculture , Artificial Intelligence (AI) , Information Technology , Machine Learning , Robotics","Munich , Bayern , Germany",Acrai is a firm that builds autonomous robots using deep learning-based computer vision for weed elimination & disrupts herbicides.,"943,706",80331,—,Active,"Oct 30, 2017",—,—,For Profit,acrai.de/,3,1-10,—,—,—,—,—,—,—,—,—,—,
Acrolinx Logo Acrolinx,"Artificial Intelligence (AI) , Content Marketing , Enterprise Software , Software","Berlin , Berlin , Germany",Acrolinx is a leading global provider of highly scalable and proven AI software for enterprise content creation.,"12,636",10557,$10M to $50M,Active,2002,—,—,For Profit,www.acrolinx.com,2,101-250,4,"$60,000,000","$60,000,000","Claret Capital Partners , EMH Partners , GENUI Partners , ViewPoint Capital Partners","Acrolinx technology helps large global brands, including IBM, Nestle, Siemens, Google, Facebook, Boeing, SAP and Amazon, create content that’s on-brand, on-target, at enterprise scale. The company is a spin-off of Germany’s DFKI, one of the world’s leading research institutes in the field of Artificial Intelligence. Learn more at acrolinx.com.",—,"May 13, 2022",4,Private Equity,Private Equity,
Acto Logo Acto,"Artificial Intelligence (AI) , B2B , Information Services , Sales , Software","Paderborn , Nordrhein-Westfalen , Germany",Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.,"220,691",33104,—,Active,2021,—,—,For Profit,www.heyacto.com/,1,1-10,—,—,—,—,"Acto is a SaaS software provider that caters to B2B sales leaders. The company leverages artificial intelligence to automate data analytics, providing valuable insights to sales teams about potential risks and opportunities in account management. Acto's platform is designed to enhance the performance of sales teams and drive business growth. It links all data in one place and proactively informs teams about sales opportunities and risks in their customers. This eliminates the need for lengthy searches in Excel reports and allows for a more streamlined and efficient sales process.",—,—,—,—,—,
Ad Rockt Logo Ad Rockt,"Analytics , Artificial Intelligence (AI)","Berlin , Berlin , Germany",Making The Most Advance AI Driven DSP,"2,182,290",—,—,Active,"Apr 17, 2016",—,—,For Profit,—,1,—,1,—,—,—,—,—,"Aug 8, 2016",—,Seed,Seed,
Ada Health Logo Ada Health,"Apps , Artificial Intelligence (AI) , Health Care , Medical , mHealth","Berlin , Berlin , Germany",Ada Health is a digital health company that helps to diagnose symptoms and offer treatment advice using an AI-enabled platform.,"38,265",10178,$10M to $50M,Active,2011,—,—,For Profit,ada.com/,3,101-250,5,"$186,836,419","$189,497,394","Vitruvian Partners , Bertelsmann , EASME - EU Executive Agency for SMEs , Farallon Capital Management , Mutschler Ventures AG","Ada is a global health company founded by doctors, scientists, and industry pioneers to create new possibilities for personal health. Ada’s core system connects medical knowledge with intelligent technology to help all people actively manage their health and medical professionals to deliver effective care. Ada is proud to collaborate with leading health systems and global non-profit organizations to carry out this vision. Ada Health was founded in 2011 and is based in Berlin, Germany.","$30,000,000","Feb 10, 2022",13,Early Stage Venture,Series B,
AdalanAI Logo AdalanAI,Artificial Intelligence (AI),"Berlin , Berlin , Germany","End-to-end solution for AI Governance: SaaS platform and AI Governance Approach including AI ethics, compliance, risk management","448,062",—,—,Active,2021,—,—,For Profit,www.adalanai.com/,—,—,—,—,—,—,"AdalanAI is building an end-to-end solution for AI Governance - SaaS platform and AI Governance Framework/Approach. AdalanAI is about driving operational excellence, building trust in AI technologies and benefiting from technological innovation without exposing humans to risks or harms. We help corporates, VCs, investors and policy-makers in defining Artificial Intelligence opportunities as well as assessing risks and impacts; mitigating business and legal risks and managing the entire AI life-cycle by improving/building internal governance strategies, structures, processes and people skills across organizational functions. We are building new tools and methods to manage the entire AI life-cycle - a novel approach to AI Governance.",—,—,—,—,—,
Adap Logo Adap,"Artificial Intelligence (AI) , Information Technology , Machinery Manufacturing , Software","Hamburg , Hamburg , Germany","Adap is a software development company that offers artificial intelligence, automation solutions, and product creation services.","373,605",22301,$1M to $10M,Active,2020,—,—,For Profit,www.adap.com/en,—,11-50,—,—,—,—,—,—,—,—,—,—,
ADASENS Automotive GmbH Logo ADASENS Automotive GmbH,"Automotive , Autonomous Vehicles , Machine Learning , Manufacturing , Software","Lindau , Bayern , Germany","ADASENS Automotive GmbH is designated to develop and market machine vision, embedded software solutions.","363,443",88131,—,Active,2006,"May 24, 2016",—,For Profit,adasens.com/,—,11-50,—,—,—,—,"ADASENS was founded in 2006 as a subsidiary of OMRON Automotive Deutschland with the purpose to develop camera based machine vision algorithms for the OMRON HRDC imager chip, aiming for the worldwide automotive market. In 2009 ADASENS status was changed as OMRON and Ficosa launched a Joint Venture. The focus was to develop, produce and market camera based ADAS Systems as a TIER1 supplier. ADASENS also developed a state-of-the-art Surround View functionality with German OEMs.From 2010 on, after OMRON's withdrawal of the automotive ADAS market, ADASENS operated as an 100 % subsidiary of Ficosa. The prime purpose was to develop ADAS basis know-how for Ficosas systems accompanied by additional customer activities in the US and EU. ADASENS brought several series development projects to life i.e. automotive parking camera and traffic sign recognition software.In April 2016 Ficosa completed the acquisition of ADASENS, taking over full ownership of the company. Under Ficosa’s control, ADASENS will play a decisive role in key technology for the research and development of new image recognition-technology that will lead to a safer and more autonomous driving environment.",—,—,—,M&A,—,
ADEAL Systems Logo ADEAL Systems,"Artificial Intelligence (AI) , Big Data , Cloud Data Services , Data Mining , Machine Learning","Neu Isenburg , Hessen , Germany","ADEAL Systems offers agile data engineering, data science solutions, and customer analytics services.","1,211,112",—,$1M to $10M,Active,2017,—,—,For Profit,adeal-systems.com,—,11-50,—,—,—,—,"ADEAL Systems GmbH is a company that specializes in creating innovative agile data engineering and data science solutions. Their services are designed to help businesses unlock new potential through the use of big data analytics. They have a team of experts in the fields of Big Data, Cloud, and AI, who support the technical implementation of projects aimed at optimizing business processes. They also offer customer analytics services, providing valuable insights to businesses about their customers' behavior and preferences.",—,—,—,—,—,
AdShield Logo AdShield,"Advertising , Artificial Intelligence (AI) , Machine Learning , SEM","Berlin , Berlin , Germany",AdShield is artificial intelligence-powered low-quality websites and applications from Google ads campaigns.,"763,376",—,—,Active,2020,—,—,For Profit,adshield.ai/,—,1-10,—,—,—,—,—,—,—,—,—,—,
Adtriba Logo Adtriba,"Analytics , Artificial Intelligence (AI) , Digital Marketing , Machine Learning , SaaS , Software","Hamburg , Hamburg , Germany","Adtriba is a simple, cross-channel digital marketing management platform based on data-driven attribution modelling.","41,972",20253,—,Active,"Nov 17, 2015",—,—,For Profit,www.adtriba.com/,2,1-10,3,"4,650,000.00 €","4,650,000.00 €","High-Tech Grunderfonds , seed + speed Ventures , Carsten Maschmeyer , IFB Innovationsstarter , Aschendorff NEXT","Adtriba allows businesses to track, control and optimize their customer’s journeys, offsite and onsite, through AI and user journey analysis. Adtriba integrates user journey data across all channels - including TV ads and offline marketing campaigns - and applies machine learning to all user journey events. The results are optimization suggestions and actionable insights, allowing for cross-channel optimization of marketing ROI.","4,000,000.00 €","Apr 6, 2021",9,—,Venture - Series Unknown,
ADUK GmbH Logo ADUK GmbH,"Artificial Intelligence (AI) , Information Technology , Internet of Things , Machine Learning , Software","Planegg , Bayern , Germany","Germany smart electronics IoT company. Provides hardware, software engineering services, M2M machine vision, machine learning solutions","542,121",82152,—,Active,2004,—,—,For Profit,aduk.de/,1,—,—,—,—,—,—,—,—,—,—,—,
Advaneo GmbH Logo Advaneo GmbH,"Analytics , Artificial Intelligence (AI) , Big Data , Business Intelligence , Data Governance , Data Integration , Machine Learning , Predictive Analytics","Düsseldorf , Nordrhein-Westfalen , Germany","Multiparty Privacy Preserving Computing, Data Catalog, Data Sharing, Data Marketplace, Data Governance, Data Analytics","436,828",40221,—,Active,2002,—,—,For Profit,www.advaneo.de,1,11-50,—,—,—,—,—,—,—,—,—,—,
Advoria Logo Advoria,"Artificial Intelligence (AI) , Legal , Legal Tech , SaaS , Software","Berlin , Berlin , Germany",Online appointment booking for the successful law firm.,"216,838",10967,—,Active,"Aug 29, 2023",—,—,For Profit,advoria.de,—,1-10,1,—,—,—,"Advoria's online appointment booking for law firms offers 24/7 access for new clients and a noticeable relief for the secretariat. Software made in Germany, GDPR-compliant and of the highest quality!",—,"Oct 19, 2023",—,Seed,Pre-Seed,
